county_clean,total_substations,inside_sfha,touching_sfha_boundary,inside_or_touching_sfha,above_bfe,below_bfe,missing_or_unknown_bfe,below_bfe_and_inside_sfha,below_bfe_and_touching_sfha,below_bfe_and_inside_or_touching_sfha,pct_inside_sfha,pct_touching_sfha_boundary,pct_inside_or_touching_sfha,pct_below_bfe,pct_below_bfe_and_inside_or_touching_sfha
Allegheny County,208,14,11,25,197,11,0,2,5,7,6.73,5.29,12.02,5.29,3.37
Lawrence County,38,5,7,12,30,8,0,1,5,6,13.16,18.42,31.58,21.05,15.79
Centre County,35,6,6,12,30,5,0,0,5,5,17.14,17.14,34.29,14.29,14.29
Blair County,34,7,5,12,26,8,0,1,3,4,20.59,14.71,35.29,23.53,11.76
Westmoreland County,62,6,5,11,52,10,0,2,4,6,9.68,8.06,17.74,16.13,9.68
Dauphin County,55,8,3,11,48,7,0,2,2,4,14.55,5.45,20.0,12.73,7.27
Northampton County,85,6,5,11,77,8,0,0,4,4,7.06,5.88,12.94,9.41,4.71
Luzerne County,76,6,5,11,66,10,0,0,2,2,7.89,6.58,14.47,13.16,2.63
Chester County,51,6,4,10,46,5,0,1,3,4,11.76,7.84,19.61,9.8,7.84
Philadelphia County,61,4,5,9,47,14,0,0,5,5,6.56,8.2,14.75,22.95,8.2
Franklin County,42,4,5,9,36,6,0,0,4,4,9.52,11.9,21.43,14.29,9.52
Delaware County,55,6,3,9,42,13,0,1,3,4,10.91,5.45,16.36,23.64,7.27
Montgomery County,79,5,4,9,72,7,0,0,4,4,6.33,5.06,11.39,8.86,5.06
Lycoming County,29,6,2,8,18,11,0,2,2,4,20.69,6.9,27.59,37.93,13.79
Berks County,82,3,4,7,70,12,0,0,4,4,3.66,4.88,8.54,14.63,4.88
Lebanon County,22,4,3,7,18,4,0,0,3,3,18.18,13.64,31.82,18.18,13.64
Susquehanna County,33,2,5,7,29,4,0,0,3,3,6.06,15.15,21.21,12.12,9.09
Schuylkill County,42,1,6,7,35,7,0,0,3,3,2.38,14.29,16.67,16.67,7.14
York County,78,4,3,7,73,5,0,0,3,3,5.13,3.85,8.97,6.41,3.85
Cumberland County,43,5,2,7,41,2,0,0,2,2,11.63,4.65,16.28,4.65,4.65
Cambria County,64,2,4,6,58,6,0,0,3,3,3.12,6.25,9.38,9.38,4.69
Mercer County,51,3,3,6,49,2,0,0,2,2,5.88,5.88,11.76,3.92,3.92
Indiana County,19,5,1,6,18,1,0,0,1,1,26.32,5.26,31.58,5.26,5.26
Mifflin County,18,0,5,5,13,5,0,0,5,5,0.0,27.78,27.78,27.78,27.78
Huntingdon County,25,1,4,5,20,5,0,0,3,3,4.0,16.0,20.0,20.0,12.0
Somerset County,25,2,3,5,24,1,0,0,1,1,8.0,12.0,20.0,4.0,4.0
Monroe County,32,4,1,5,31,1,0,0,0,0,12.5,3.12,15.62,3.12,0.0
McKean County,15,0,4,4,10,5,0,0,4,4,0.0,26.67,26.67,33.33,26.67
Potter County,13,1,3,4,10,3,0,0,3,3,7.69,23.08,30.77,23.08,23.08
Bradford County,36,3,1,4,31,5,0,2,1,3,8.33,2.78,11.11,13.89,8.33
Armstrong County,26,2,2,4,22,4,0,0,2,2,7.69,7.69,15.38,15.38,7.69
Washington County,44,2,2,4,40,4,0,0,2,2,4.55,4.55,9.09,9.09,4.55
Butler County,54,1,3,4,52,2,0,0,2,2,1.85,5.56,7.41,3.7,3.7
Lancaster County,82,4,0,4,80,2,0,1,0,1,4.88,0.0,4.88,2.44,1.22
Lackawanna County,31,4,0,4,29,2,0,0,0,0,12.9,0.0,12.9,6.45,0.0
Warren County,13,2,1,3,10,3,0,2,1,3,15.38,7.69,23.08,23.08,23.08
Clearfield County,15,0,3,3,11,4,0,0,3,3,0.0,20.0,20.0,26.67,20.0
Elk County,16,1,2,3,12,4,0,0,2,2,6.25,12.5,18.75,25.0,12.5
Venango County,18,2,1,3,16,2,0,1,1,2,11.11,5.56,16.67,11.11,11.11
Crawford County,19,2,1,3,16,3,0,1,1,2,10.53,5.26,15.79,15.79,10.53
Beaver County,32,2,1,3,27,5,0,1,1,2,6.25,3.12,9.38,15.62,6.25
Bucks County,59,0,3,3,50,9,0,0,2,2,0.0,5.08,5.08,15.25,3.39
Erie County,62,2,1,3,41,21,0,1,1,2,3.23,1.61,4.84,33.87,3.23
Tioga County,23,2,1,3,19,4,0,0,1,1,8.7,4.35,13.04,17.39,4.35
Lehigh County,52,3,0,3,50,2,0,0,0,0,5.77,0.0,5.77,3.85,0.0
Fulton County,5,0,2,2,2,3,0,0,2,2,0.0,40.0,40.0,60.0,40.0
Northumberland County,17,1,1,2,12,5,0,1,1,2,5.88,5.88,11.76,29.41,11.76
Union County,8,0,2,2,7,1,0,0,1,1,0.0,25.0,25.0,12.5,12.5
Snyder County,9,1,1,2,8,1,0,0,1,1,11.11,11.11,22.22,11.11,11.11
Jefferson County,10,0,2,2,7,3,0,0,1,1,0.0,20.0,20.0,30.0,10.0
Clinton County,12,1,1,2,11,1,0,0,1,1,8.33,8.33,16.67,8.33,8.33
Carbon County,23,2,0,2,22,1,0,1,0,1,8.7,0.0,8.7,4.35,4.35
Adams County,26,1,1,2,23,3,0,0,1,1,3.85,3.85,7.69,11.54,3.85
Pike County,14,2,0,2,14,0,0,0,0,0,14.29,0.0,14.29,0.0,0.0
Columbia County,18,2,0,2,13,5,0,0,0,0,11.11,0.0,11.11,27.78,0.0
Greene County,23,2,0,2,23,0,0,0,0,0,8.7,0.0,8.7,0.0,0.0
Montour County,7,0,1,1,5,2,0,0,1,1,0.0,14.29,14.29,28.57,14.29
Bedford County,17,0,1,1,14,3,0,0,1,1,0.0,5.88,5.88,17.65,5.88
Sullivan County,6,1,0,1,6,0,0,0,0,0,16.67,0.0,16.67,0.0,0.0
Wayne County,14,1,0,1,14,0,0,0,0,0,7.14,0.0,7.14,0.0,0.0
Fayette County,27,0,1,1,25,2,0,0,0,0,0.0,3.7,3.7,7.41,0.0
Clarion County,12,0,0,0,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Juniata County,9,0,0,0,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Perry County,9,0,0,0,8,1,0,0,0,0,0.0,0.0,0.0,11.11,0.0
Wyoming County,8,0,0,0,7,1,0,0,0,0,0.0,0.0,0.0,12.5,0.0
Forest County,3,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Cameron County,2,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,50.0,0.0
